"","x"
"1193",176472.008666788
"1194",186487.505067117
"1195",218427.192439136
"1196",213770.379034374
"1197",163672.716719464
"1198",192926.512543554
"1199",160967.342111408
"1200",157486.463606475
"1201",155052.664266092
"1202",208383.79035937
"1203",149827.073127195
"1204",230720.39513378
"1205",226519.057310095
"1206",182397.961704141
"1207",196745.286204663
"1208",188992.39795274
"1209",184291.613564005
"1210",190878.410137024
"1211",206565.269814305
"1212",182932.138459793
"1213",188423.597990958
"1214",193565.585955836
"1215",177684.708284306
"1216",203281.217846408
"1217",189365.881143976
"1218",173249.364496539
"1219",215906.478330592
"1220",221192.336317426
"1221",204221.463675264
"1222",187415.733341309
"1223",213671.158834207
"1224",256579.850496018
"1225",185586.93627109
"1226",185344.914385406
"1227",224999.568279938
"1228",179300.64086698
"1229",172854.022025292
"1230",193268.879542157
"1231",168267.431088618
"1232",186973.54968101
"1233",214278.897467021
"1234",207708.355148728
"1235",212013.00347495
"1236",171333.829496544
"1237",199642.117052231
"1238",149019.414726286
"1239",214394.849197082
"1240",165127.351505518
"1241",179264.736724246
"1242",188423.531007841
"1243",180044.818883029
"1244",182538.465897159
"1245",189647.052016374
"1246",177683.928758808
"1247",198029.151839616
"1248",210038.666509157
"1249",221191.406820469
"1250",179420.997991934
"1251",203239.275405292
"1252",157471.313834906
"1253",159845.734291506
